Name,GPX_file,Type,Stafftype,Beds,Area,Lock,Season,Other
Rostahytta,ut-no_rostahytta,DNT,Ubetjent,33,TromsFinnmark,DNT-Nøkkel,Hele året,Strøm
Stor-Rostahytta,ut-no_stor-rostahytta,Statsskog,Ubetjent,4,TromsFinnmark,Åpen,Hele året,
Dærtahytta,ut-no_drtahytta,DNT,Ubetjent,23,TromsFinnmark,DNT-Nøkkel,Hele året,
Dividalshytta,ut-no_dividalshytta,DNT,Ubetjent,16,TromsFinnmark,DNT-Nøkkel,Hele året,
Ole Nergårdbua,ut-no_ole-nergrdbua,Statsskog,Ubetjent,2,TromsFinnmark,Åpen,Hele året,
Fossbua,ut-no_fossbua,Statsskog,Ubetjent,3,TromsFinnmark,Åpen,Hele året,
Veslnesbua,ut-no_veslnesbua,Statsskog,Ubetjent,3,TromsFinnmark,Åpen,Hele året,
Vuomahytta,ut-no_vuomahytta,DNT,Ubetjent,25,TromsFinnmark,DNT-Nøkkel,Hele året,Strøm
Gaskashytta,ut-no_gaskashytta,DNT,Ubetjent,18,TromsFinnmark,DNT-Nøkkel,Hele året,
Koievassbua,ut-no_koievassbua,Statsskog,Ubetjent,3,TromsFinnmark,Åpen,Hele året,
Altevasshytta,ut-no_altevasshytta,DNT,Ubetjent,17,TromsFinnmark,Spesialnøkkel,Hele året,
Lappjordhytta,ut-no_lappjordhytta,DNT,Ubetjent,14,TromsFinnmark,DNT-Nøkkel,Hele året,
Pålnostugan,ut-no_plnostugan,STF,Ubetjent,6,TromsFinnmark,Åpen,Hele året,Nødtelefon
Låktatjåkkastugan,ut-no_lktatjkkastugan,Privat,Betjent,0,TromsFinnmark,?,?,
Stordalsstua,ut-no_stordalsstua,DNT,Ubetjent,8,TromsFinnmark,DNT-Nøkkel,Hele året,
Riksgransen Vandrarhem,ut-no_riksgrnsen-vandrarhem,Privat,Betjent,0,TromsFinnmark,Betjent,Hele året,Strøm
Vokterboligen,ut-no_vokterboligen,DNT,Ubetjent,12,TromsFinnmark,Spesialnøkkel,Hele året,Strøm
Katterat fjellstue,ut-no_katterat-fjellstue,Privat,Betjent,30,TromsFinnmark,Betjent,?,Strøm
Hunddalshytta,ut-no_hunddalshytta,DNT,Ubetjent,14,TromsFinnmark,DNT-Nøkkel,Hele året,
Oallavagge,ut-no_oallavagge,DNT,Nødbu,0,TromsFinnmark,Åpen,Hele året,
Unna Allakas Fjällstuga,ut-no_unna-allakas-fjllstuga,STF,Selvbetjent,18,TromsFinnmark,?,?,Nødtelefon
Cunojávrihytta,ut-no_cunojvrihytta,DNT,Ubetjent,9,TromsFinnmark,DNT-Nøkkel,Hele året,Strøm
Storsteinshytta,ut-no_storsteinshytta,DNT,Ubetjent,4,TromsFinnmark,Spesialnøkkel,Hele året,
Lossihytta,ut-no_lossihytta,DNT,Ubetjent,10,TromsFinnmark,DNT-Nøkkel,Hele året,Strøm
Cáihnavággihytta,ut-no_cihnavggihytta,DNT,Ubetjent,9,TromsFinnmark,DNT-Nøkkel,Hele året,
Gautelishytta,ut-no_gautelishytta,DNT,Ubetjent,12,TromsFinnmark,DNT-Nøkkel,Hele året,Strøm
Skoaddejávre,ut-no_skoaddejvre,DNT,Ubetjent,12,TromsFinnmark,DNT-Nøkkel,Hele året,
Sitashytta,ut-no_sitashytta,DNT,Ubetjent,8,TromsFinnmark,DNT-Nøkkel,Hele året,Strøm
Baugebua,ut-no_baugebua,DNT,Ubetjent,2,TromsFinnmark,DNT-Nøkkel,Hele året,
Paurohytta,ut-no_paurohytta,DNT,Ubetjent,12,TromsFinnmark,DNT-Nøkkel,Hele året,Strøm
Røysvatn,ut-no_rysvatn,DNT,Ubetjent,12,TromsFinnmark,DNT-Nøkkel,Hele året,
Sitasjaure Fjällstuga,ut-no_sitasjaure-fjllstuga,STF,Ubetjent,28,TromsFinnmark,?,?,Nødtelefon
Gamma i Nuortakrågge,ut-no_gamma-i-nuortakrgge,Privat,Nødbu,4,TromsFinnmark,?,Hele året,Jordgamme
Ritsem Fjällstation,ut-no_ritsem-fjllstation,STF,Selvbetjent,80,TromsFinnmark,?,?,Nødtelefon
Vaisaluokta Fjällstuga,ut-no_vaisaluokta-fjllstuga,STF,Ubetjent,20,TromsFinnmark,?,?,Nødtelefon
Ahkká-stugorna ,ut-no_hkk-stugorna-,Privat,Ubetjent,40,TromsFinnmark,?,?,Nødtelefon
Kutjaure Fjällstuga,ut-no_kutjaure-fjllstuga,STF,Ubetjent,20,TromsFinnmark,?,?,Nødtelefon
Låddejåhkå,loddejohka,Privat,Betjent,32,TromsFinnmark,?,?,Nødtelefon
Arasluokta Fjällstuga,ut-no_rasluokta-fjllstuga,STF,Ubetjent,32,TromsFinnmark,?,?,
Stáloluokta Fjällstuga,ut-no_stloluokta-fjllstuga,Privat,Selvbetjent,42,TromsFinnmark,?,?,
Stáddájåhkå Fjällstuga,ut-no_stddjhk-fjllstuga,Privat,Ubetjent,18,TromsFinnmark,?,Hele året,
